Student ID,Age,Location,Highest Education,Entranced,Specilization in High School,Current Job/School
GED202402_43,16,Mandalay,Pass 9th Grade,Yes,Grade12 ??????????????,Free online class study
GED202402_44,20,Shan,Pass 10th Grade,Yes,Science,English Online Class
GED202402_45,18,Sagaing,Pass 10th Grade,No,Biology,Self-study
GED202402_46,22,Mandalay,Pass University First Year,Yes,Bio,Yadanabon University
GED202402_47,18,Yangon,Pass 10th Grade,No,Bio,Korean language Teacher
GED202402_48,15,Yangon,Other,Yes,Science,No
GED202402_49,15,Yangon,Other,Yes,Science,No
GED202402_50,17,Sagaing,Pass 9th Grade,No,I’m just finish G9,G9
GED202402_51,16,Kayin,Pass 10th Grade,No,Biology,Essential Education Center (EEC)
GED202402_52,18,Shan,Pass 10th Grade,Yes,Biology,Online School
GED202402_53,17,Yangon,Pass 10th Grade,No,Biology,cdm??????????????????????????
GED202402_54,19,Yangon,Other,No,"english as second language , maths , physics , chemistry , biology , ict , computer science",English Teacher
GED202402_55,17,Mon,Pass 10th Grade,No,steam 1,?.?.?(???)????????
GED202402_56,19,Kachin,Pass 10th Grade,No,ECO,community school
GED202402_57,19,Ayeyarwady,Pass 10th Grade,No,??????????Biology Science,ITPEC FE Passed.
GED202402_58,18,Yangon,Pass 9th Grade,Yes,Economy,None
GED202402_59,18,Mandalay,Pass 10th Grade,Yes,Bio,CDM Student
GED202402_60,16,Kachin,Pass 9th Grade,Yes,-,Student
GED202402_61,16,Magway,Pass 7th Grade,Yes,Nothing,"Currently I don't have any class to attend,I just have done my Pre IG class so."
GED202402_62,20,Yangon,Pass 10th Grade,No,Biology,??????
GED202402_63,18,Taninthary,Pass 10th Grade,Yes,????-7,English course
GED202402_64,15,Shan,Pass 8th Grade,Yes,I just pass grade 8 last year,Student
GED202402_65,17,Yangon,Pass 10th Grade,Yes,NA,NA
GED202402_66,19,Sagaing,Pass 10th Grade,Yes,Biology,I'm currently at home.
GED202402_67,18,Mon,Pass 8th Grade,Yes,Bio,Federal school
GED202402_68,18,Mon,Pass 10th Grade,Yes,Biology,Federal school
GED202402_69,17,Thailand (Others),Pass 10th Grade,No,Bio,YREC
GED202402_70,19,Yangon,Pass 9th Grade,No,???????????????,????????
GED202402_71,18,Mandalay,Pass 9th Grade,No,bio??? (G12 ????????G8 ??????????? G10 new system ??? online ?????????????),Student who is learning online
GED202402_72,19,Yangon,Pass 10th Grade,No,Biology,??????
GED202402_73,15,Mandalay,Pass 8th Grade,Yes,-,-
GED202402_74,17,Yangon,Pass 8th Grade,Yes,_,-
GED202402_75,22,Chin,Pass 9th Grade,No,"Myanmar, English, Mathematics, Physics, Chemistry, Economics.",CDM student
GED202402_76,16,Yangon,Pass 9th Grade,No,"English, Allegra II, Psychology, Physical science, Biology, Geometry",AIS
GED202402_77,16,Yangon,Pass 9th Grade,No,"English, geometry, algebra 2, psychology, biology, physical science",American international studies
GED202402_78,19,Yangon,Pass 9th Grade,Yes,Bio,??????
GED202402_79,16,Thailand (Mae Sot),Pass 9th Grade,Yes,??????,Self Study
GED202402_80,17,Mandalay,Pass 10th Grade,No,????,????
GED202402_81,19,Sagaing,Pass 9th Grade,Yes,Biology,Nothing
GED202402_82,17,Mandalay,Pass 10th Grade,No,Biology,Volunteering at the monastic high school
GED202402_83,22,Shan,Pass 8th Grade,No,12??????????????????????,??????????????? programming ???????????? ????????????????????????
GED202402_84,18,Ayeyarwady,Pass 9th Grade,No,Bio,?????????? private school
GED202402_85,17,Taninthary,Pass 10th Grade,Yes,Grade 11th New (Bio),Student
GED202402_86,17,Yangon,Pass 8th Grade,No,.,.
GED202402_87,17,Kachin,Pass 7th Grade,No,I don't have,I don't get job and don't go to any school.
GED202402_88,25,Yangon,Other,No,?????????????,Waitress
GED202402_89,26.12.2001,Shan,Pass 10th Grade,No,Biology,Freelance
GED202402_90,12,Yangon,Other,Yes,No,Student
GED202402_91,22,Kayin,Pass University First Year,Yes,Biology,Tailor
GED202402_92,18,Yangon,Pass 9th Grade,Yes,No,CDM Student
GED202402_93,19,Yangon,Pass 10th Grade,Yes,"I'm grade 11old system student and my subjects were Myanmar,English,Mathematics,Biology,Chemistry and Physics.",I am still a student and learning online.
GED202402_94,15,Magway,Pass 9th Grade,Yes,-,I'm currently working as a volunteer in non profit organization
GED202402_95,20,Yangon,Pass 9th Grade,No,Eco,freelance content writer/ no school
GED202402_96,18,Taninthary,Pass 10th Grade,No,Biology,Kan Zun Ahin
GED202402_97,19,Thailand (Mae Sot),Pass 9th Grade,No,Eco,School
GED202402_98,17,Mandalay,Pass 10th Grade,No,Biology,Myat Yadanar Private High School
GED202402_99,16,Mandalay,Pass 9th Grade,No,Biology,Myothit
GED202402_100,16,Yangon,Pass 8th Grade,Yes,-,-
GED202402_101,19,Kayin,Pass 10th Grade,Yes,Bio,???????????????????????
GED202402_102,18,Yangon,Pass 9th Grade,Yes,Eco,None
GED202402_103,18,Bago,Other,Yes,I have not yet completed Grade 12.,Currently not attending any educational institution
GED202402_104,17,Yangon,Pass 9th Grade,Yes,Bio,Attending Grade-11 via online and doing GED self-study
GED202402_105,16 years,Mon,Pass 9th Grade,No,Bio,BEHS Zoke Thoke
